outlet,n_articles,mean_distance,ci_low,ci_high,em_consensus_agreement
timesunion.com,2,0.811589,0.015445,0.821641,0.500000
presstelegram.com,1,0.812103,0.812103,0.812103,0.500000
centraloregondaily.com,6,0.812168,0.793211,0.830955,0.500000
courthousenews.com,5,0.812181,0.780725,0.840327,0.500000
fortune.com,6,0.812322,0.799019,0.822389,0.528565
kten.com,6,0.812499,0.774284,0.852564,0.500000
krcrtv.com,3,0.813263,0.000000,0.835548,0.500000
shreveporttimes.com,7,0.813589,0.790632,0.838725,0.500000
baltimoresun.com,11,0.813607,0.784931,0.836599,0.516355
chicago.suntimes.com,2,0.813760,0.807699,0.819822,0.500000
wspa.com,3,0.814095,0.000000,0.842703,0.500000
smdailyjournal.com,1,0.814283,0.814283,0.814283,0.500000
oklahoman.com,1,0.814437,0.814437,0.814437,0.500000
axios.com,32,0.814473,0.800855,0.827556,0.500977
wbrz.com,7,0.814650,0.792726,0.841689,0.500000
slotkin.senate.gov,2,0.815300,0.799040,0.831560,0.500000
nypost.com,10,0.815653,0.779184,0.846834,0.594745
wjla.com,4,0.815834,0.772004,0.844644,0.500000
edition.cnn.com,7,0.815865,0.793436,0.836467,0.500000
urbanmilwaukee.com,2,0.816374,0.785837,0.846911,0.500000
natlawreview.com,1,0.816648,0.816648,0.816648,0.500000
dailycaller.com,43,0.816722,0.803270,0.829247,0.489966
independent.co.uk,7,0.816927,0.788107,0.849652,0.500000
alaskapublic.org,2,0.816960,0.781794,0.852125,0.500000
thehindu.com,1,0.817680,0.817680,0.817680,0.500000
wjcl.com,3,0.818002,0.724468,0.864769,0.500000
thebanner.com,3,0.818131,0.787019,0.836585,0.500000
